word,tf-idf-neg,node-label
(แออัดยัดเยียด - ADJ),-0.2646742715879734,neg
(คนบ้า - VERB),-0.2443147122350524,neg
(เอะอะ - VERB),-0.21173941727037876,neg
(เกลียด - VERB),-0.18682889759151067,neg
(พล็อต - VERB),-0.18682889759151067,neg
(เทศบาลเมือง - ADJ),-0.18682889759151067,neg
(เลิก - ADV),-0.18682889759151067,neg
(สงบสุข - ADV),-0.17644951439198228,neg
(ห้องสุขา - ADJ),-0.16716269784503585,neg
(วู้ด - VERB),-0.15880456295278408,neg
(รถมอเตอร์ไซค์ - VERB),-0.15880456295278408,neg
(ล่า - ADV),-0.15880456295278408,neg
(หยุดพัก - VERB),-0.1512424409074134,neg
(อลหม่าน - VERB),-0.1512424409074134,neg
(เมตร - ADV),-0.144367784502531,neg
(ยิง - ADV),-0.1323371357939867,neg
(จ่ายเงิน - ADV),-0.1306846028814409,neg
(กระจ่าง - VERB),-0.1221573561175262,neg
(เข็มฉีดยา - VERB),-0.11343183068056004,neg
(วาจา - VERB),-0.11343183068056004,neg
(กด - VERB),-0.10952038824329935,neg
(ยัด - VERB),-0.10952038824329935,neg
(ทาบทาม - VERB),-0.10952038824329935,neg
(ตัด - ADJ),-0.10586970863518938,neg
(ฉุกเฉิน - ADJ),-0.10586970863518938,neg
(เสี่ยงชีวิต - VERB),-0.10586970863518938,neg
(สกุลเงิน - VERB),-0.10586970863518938,neg
(อม - ADJ),-0.10586970863518938,neg
(เขียง - ADV),-0.1047063052435939,neg
(ตลก - ADV),-0.10413413964116988,neg
(ยิ้มแย้ม - ADJ),-0.09772588489402097,neg
(ป้าย - VERB),-0.09624518966835398,neg
(ไวย์ - ADV),-0.09624518966835398,neg
(รัสเซีย - ADJ),-0.09624518966835398,neg
(บรรยาย - VERB),-0.09341444879575533,neg
(แจ้ง - VERB),-0.09341444879575533,neg
(ทน - ADJ),-0.09074546454444804,neg
(ควาย - VERB),-0.08984566448099063,neg
(รถเข็น - VERB),-0.08822475719599114,neg
(ปลอดโปร่ง - ADJ),-0.08822475719599114,neg
(ฉาก - ADJ),-0.08706354852696835,neg
(รองเท้าแตะ - VERB),-0.08456062539387353,neg
(ฉิบหาย - VERB),-0.08358134892251792,neg
(อาสาสมัคร - ADJ),-0.08358134892251792,neg
(ลบ - ADV),-0.08358134892251792,neg
(มือสมัครเล่น - VERB),-0.08358134892251792,neg
(โทร - VERB),-0.08358134892251792,neg
(คนงาน - VERB),-0.08214029118247451,neg
(ลูก - ADV),-0.07986281287199166,neg
(คอก - VERB),-0.07940228147639204,neg
(ค่ารถ - ADJ),-0.07940228147639204,neg
(ฉี่ - ADJ),-0.07746564046477272,neg
(ชดเชย - VERB),-0.07746564046477272,neg
(ท่อน้ำทิ้ง - VERB),-0.0758137641667421,neg
(นาฬิกา - VERB),-0.07473155903660426,neg
(โสด - ADJ),-0.07386258741989957,neg
(เขตร้อน - VERB),-0.07057980575679292,neg
(ไม - VERB),-0.07057980575679292,neg
(แม่ค้า - VERB),-0.06904546215338438,neg
(ฉวย - ADJ),-0.06904546215338438,neg
(ก่อตัว - VERB),-0.06904546215338438,neg
(คิว - VERB),-0.06904546215338438,neg
(คุ้มทุน - VERB),-0.06904546215338438,neg
(เก้าอี้ผ้าใบ - VERB),-0.06845383960456429,neg
(หวาดกลัว - ADJ),-0.0671005195575144,neg
(งัน - ADJ),-0.06664123467496343,neg
(กระเบื้อง - VERB),-0.06616856789699335,neg
(เจ็บปวด - VERB),-0.06616856789699335,neg
(ถั่ว - ADJ),-0.06481818896032002,neg
(ยิง - VERB),-0.06426119057942901,neg
(กล้องถ่ายรูป - VERB),-0.06352182518111363,neg
(แทน - ADV),-0.06352182518111363,neg
(โซ - ADJ),-0.06352182518111363,neg
(บันเทิง - ADJ),-0.06352182518111363,neg
(ใบพัด - VERB),-0.06289289621892438,neg
(หมื่น - ADJ),-0.06268601169188845,neg
(คัด - VERB),-0.062276299197170225,neg
(แย่ - ADV),-0.06216348677603676,neg
(เปลื้องผ้า - VERB),-0.0610786780587631,neg
(คิ้ว - VERB),-0.0610786780587631,neg
(แน่ใจ - ADV),-0.05992625017086191,neg
(อนุรักษ์นิยม - ADJ),-0.05992625017086191,neg
(สาบาน - VERB),-0.05992625017086191,neg
(ผอม - VERB),-0.05992625017086191,neg
(ตะโกน - ADV),-0.05989710965399375,neg
(ส่อง - VERB),-0.05881650479732743,neg
(แสวงหา - VERB),-0.05881650479732743,neg
(เลี้ยว - ADJ),-0.05827690383588406,neg
(บ้า - VERB),-0.05827690383588406,neg
(คว่ำ - VERB),-0.05827690383588406,neg
(ถนน - ADJ),-0.05827690383588406,neg
(ลาส - VERB),-0.057747113801012384,neg
(ผจญภัย - VERB),-0.057747113801012384,neg
(นั่งเล่น - VERB),-0.057747113801012384,neg
(แวบ - VERB),-0.057747113801012384,neg
(ลับ - ADJ),-0.057747113801012384,neg
(โชคร้าย - ADJ),-0.057501225267834,neg
(ตั๋ว - ADV),-0.05621400458505631,neg
(โป๊ะ - VERB),-0.055720899281678615,neg
(โบยบิน - VERB),-0.05424643893191887,neg
(เชี่ยวชาญ - ADJ),-0.051227278371865824,neg
(เกวียน - VERB),-0.05095333570677564,neg
(เส็งเคร็ง - VERB),-0.0504141469691378,neg
(กระเป๋าสตางค์ - VERB),-0.0504141469691378,neg
(เครื่องประดับ - VERB),-0.0504141469691378,neg
(กางเกง - VERB),-0.0504141469691378,neg
(รถบัส - VERB),-0.050017185181979236,neg
(เซ - ADJ),-0.050017185181979236,neg
(กา - VERB),-0.049980926006222566,neg
(จอง - ADJ),-0.04924172494659971,neg
(เหยียบ - VERB),-0.048862942447010484,neg
(ทำลาย - ADJ),-0.048862942447010484,neg
(ลิ - VERB),-0.048862942447010484,neg
(เต - VERB),-0.048489942886346275,neg
(กี - VERB),-0.048489942886346275,neg
(เหมือน - ADV),-0.04812259483417699,neg
(ทน - ADV),-0.04812259483417699,neg
(อึดอัด - VERB),-0.04812259483417699,neg
(เครื่องยนต์ - VERB),-0.04812259483417699,neg
(ท้องถนน - VERB),-0.047760770812867386,neg
(สอบถาม - VERB),-0.0474043471500848,neg
(ไนท์ - ADJ),-0.04670722439787767,neg
(แน่น - ADV),-0.04670722439787767,neg
(ดูด - ADJ),-0.04670722439787767,neg
(กาม - VERB),-0.04670722439787767,neg
(น้ำฝน - VERB),-0.04636629575263768,neg
(ปรารถนา - VERB),-0.045552236360101576,neg
(ทุ่น - ADJ),-0.04411237859799557,neg
(กล่องโฟม - VERB),-0.04370767787691305,neg
(เบ - VERB),-0.04356153429381364,neg
(สุก - VERB),-0.04350809943911892,neg
(คุม - VERB),-0.0429201521494011,neg
(โทรม - VERB),-0.0429201521494011,neg
(ตะปบ - VERB),-0.0429201521494011,neg
(ระเบิด - VERB),-0.042692183498927186,neg
(กอ - VERB),-0.04234788345407575,neg
(เด็กชาย - VERB),-0.04234788345407575,neg
(ปัญญา - VERB),-0.04234788345407575,neg
(ยุง - ADJ),-0.04234788345407575,neg
(คนโง่ - VERB),-0.04216050343879223,neg
(มือ - ADV),-0.04206743389477724,neg
(ค่าแรง - ADJ),-0.04179067446125896,neg
(ทำร้าย - ADV),-0.04179067446125896,neg
(นโยบาย - VERB),-0.04089387887196156,neg
(ก้อน - VERB),-0.04048455006504028,neg
(กัมพูชา - VERB),-0.040283134393074904,neg
(ตื้น - VERB),-0.04020368682348964,neg
(กั้น - VERB),-0.04020368682348964,neg
(คนโกหก - VERB),-0.04020368682348964,neg
(ดำ - VERB),-0.04020368682348964,neg
(แตกหัก - VERB),-0.04020368682348964,neg
(ดอกไม้ไฟ - ADJ),-0.04020368682348964,neg
(บุก - ADJ),-0.04020368682348964,neg
(สิงคโปร์ - VERB),-0.04020368682348964,neg
(คัดค้าน - VERB),-0.03938440086837945,neg
(ฟิจิ - ADV),-0.03921100319821828,neg
(คุกคาม - ADJ),-0.03782975346568026,neg
(ครอบงำ - VERB),-0.03774783222847579,neg
(แข่ง - VERB),-0.03693129370994978,neg
(เลี่ยน - VERB),-0.0367178180237651,neg
(เวียต - VERB),-0.03609194612563275,neg
(ใส่ใจ - ADV),-0.03568641864107507,neg
(ไมล์ - VERB),-0.03555326036256359,neg
(ทุบ - ADJ),-0.034902101747864636,neg
(ทุบ - VERB),-0.034902101747864636,neg
(ตัวเลือก - ADJ),-0.034902101747864636,neg
(บันทึก - VERB),-0.034902101747864636,neg
(เคลื่อนไหว - VERB),-0.034226919802282145,neg
(น้ำตื้น - ADJ),-0.03416417727007619,neg
(ไอศกรีม - ADV),-0.03415151891457722,neg
(ตะกร้า - VERB),-0.03415151891457722,neg
(ติ - VERB),-0.03382425015754941,neg
(ล้อมรอบ - ADJ),-0.032743208856244134,neg
(เศร้า - ADV),-0.03257529496467366,neg
