word,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(ฝันร้าย - VERB),0.7057980575679291,0,0.7057980575679291,pos
(เท้าเปล่า - ADJ),0.5293485431759468,0,0.5293485431759468,pos
(สนิม - VERB),0.5293485431759468,-0.0061078678058763105,0.5232406753700705,pos
(ลูกสาว - ADV),0.39701140738196017,0,0.39701140738196017,pos
(ดิส - VERB),0.3593826579239625,0,0.3593826579239625,pos
(ฟัน - VERB),0.31945125148796666,0,0.31945125148796666,pos
(ม้วน - ADV),0.288735569005062,0,0.288735569005062,pos
(สักพัก - VERB),0.288735569005062,0,0.288735569005062,pos
(แออัดยัดเยียด - ADJ),0,-0.2646742715879734,-0.2646742715879734,neg
(จิบ - VERB),0.2443147122350524,0,0.2443147122350524,pos
(ค็อกเทล - ADJ),0.2443147122350524,0,0.2443147122350524,pos
(คนบ้า - VERB),0,-0.2443147122350524,-0.2443147122350524,neg
(ห้า - ADJ),0.22686366136112007,0,0.22686366136112007,pos
(ดาว - ADV),0.22686366136112007,0,0.22686366136112007,pos
(เอะอะ - VERB),0,-0.21173941727037876,-0.21173941727037876,neg
(กระแทก - VERB),0.20536151881369286,-0.004272007820790045,0.20108951099290281,pos
(ตะเกียง - ADV),0.19850570369098008,0,0.19850570369098008,pos
(เกลียด - VERB),0,-0.18682889759151067,-0.18682889759151067,neg
(พล็อต - VERB),0,-0.18682889759151067,-0.18682889759151067,neg
(เทศบาลเมือง - ADJ),0,-0.18682889759151067,-0.18682889759151067,neg
(เลิก - ADV),0,-0.18682889759151067,-0.18682889759151067,neg
(เกรซ - VERB),0.006647808026156299,-0.18682889759151067,-0.18018108956535436,neg
(ยินดี - ADV),0.014093437565645588,-0.19167075089278002,-0.17757731332713442,neg
(สงบสุข - ADV),0,-0.17644951439198228,-0.17644951439198228,neg
(เด็ก - ADJ),0.17644951439198228,-0.0038067277917292223,0.17264278660025306,pos
(บ้าคลั่ง - ADJ),0.16716269784503585,0,0.16716269784503585,pos
(ห้องสุขา - ADJ),0,-0.16716269784503585,-0.16716269784503585,neg
(ดีวีดี - VERB),0.15880456295278408,0,0.15880456295278408,pos
(วู้ด - VERB),0,-0.15880456295278408,-0.15880456295278408,neg
(รถมอเตอร์ไซค์ - VERB),0,-0.15880456295278408,-0.15880456295278408,neg
(ล่า - ADV),0,-0.15880456295278408,-0.15880456295278408,neg
(กระเป๋ากางเกง - VERB),0.1512424409074134,0,0.1512424409074134,pos
(หยุดพัก - VERB),0,-0.1512424409074134,-0.1512424409074134,neg
(อลหม่าน - VERB),0,-0.1512424409074134,-0.1512424409074134,neg
(แข็งแรง - ADJ),0.1499427780186677,0,0.1499427780186677,pos
(สปา - VERB),0.021363842549701893,-0.16912125078774706,-0.14775740823804517,neg
(เลี้ยงฉลอง - VERB),0.144367784502531,0,0.144367784502531,pos
(เมตร - ADV),0,-0.144367784502531,-0.144367784502531,neg
(ป้อมตำรวจ - VERB),0.13809092430676875,0,0.13809092430676875,pos
(บรรเทา - VERB),0.13809092430676875,0,0.13809092430676875,pos
(เครียด - ADJ),0.010604645272306115,-0.14772517483979913,-0.13712052956749302,neg
(ใส่ - ADV),0.1323371357939867,0,0.1323371357939867,pos
(ผ่อนคลาย - ADJ),0.1323371357939867,0,0.1323371357939867,pos
(ยิง - ADV),0,-0.1323371357939867,-0.1323371357939867,neg
(จ่ายเงิน - ADV),0,-0.1306846028814409,-0.1306846028814409,neg
(งมงาย - VERB),0.12455259839434045,0,0.12455259839434045,pos
(งั้น - ADJ),0.12455259839434045,0,0.12455259839434045,pos
(กระจ่าง - VERB),0,-0.1221573561175262,-0.1221573561175262,neg
(ยิ้ม - ADV),0.010467456056037744,-0.12704365036222726,-0.11657619430618951,neg
(ถังขยะ - VERB),0.1250026636257261,-0.01036822886521075,0.11463443476051535,pos
(กาง - VERB),0.11343183068056004,0,0.11343183068056004,pos
(ย้อน - ADJ),0.11343183068056004,0,0.11343183068056004,pos
(เข็มฉีดยา - VERB),0,-0.11343183068056004,-0.11343183068056004,neg
(วาจา - VERB),0,-0.11343183068056004,-0.11343183068056004,neg
(แน่นอน - ADV),0.11654966095207123,-0.005252597516823537,0.11129706343524769,pos
(รู้ตัว - ADJ),0.10952038824329935,0,0.10952038824329935,pos
(ไพ่ - ADV),0.10952038824329935,0,0.10952038824329935,pos
(ยิ้ม - ADJ),0.10952038824329935,0,0.10952038824329935,pos
(กด - VERB),0,-0.10952038824329935,-0.10952038824329935,neg
(ยัด - VERB),0,-0.10952038824329935,-0.10952038824329935,neg
(ทาบทาม - VERB),0,-0.10952038824329935,-0.10952038824329935,neg
(ตัด - ADJ),0,-0.10586970863518938,-0.10586970863518938,neg
(ฉุกเฉิน - ADJ),0,-0.10586970863518938,-0.10586970863518938,neg
(เสี่ยงชีวิต - VERB),0,-0.10586970863518938,-0.10586970863518938,neg
(สกุลเงิน - VERB),0,-0.10586970863518938,-0.10586970863518938,neg
(อม - ADJ),0,-0.10586970863518938,-0.10586970863518938,neg
(เขียง - ADV),0,-0.1047063052435939,-0.1047063052435939,neg
(ตลก - ADV),0,-0.10413413964116988,-0.10413413964116988,neg
