word,synonyms,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(ไหม - VERB),"[Lemma('silkworm.n.01.ไหม'), Lemma('silkworm.n.02.ไหม')]",3.1760912590556813,-0.038080281634327154,3.138010977421354,pos
(กุ้งก้ามกราม - VERB),[],3.1760912590556813,-0.288735569005062,2.887355690050619,pos
(เขียวชอุ่ม - ADJ),[],0.03736577951830213,-1.0586970863518936,-1.0213313068335914,neg
(ยา - VERB),"[Lemma('drug.n.01.ยา'), Lemma('drug_of_abuse.n.01.ยา'), Lemma('medicine.n.02.ยา')]",0.9583537544639,0,0.9583537544639,pos
(เล - VERB),[Lemma('leu.n.02.เล')],0,-0.7940228147639203,-0.7940228147639203,neg
(ฝันร้าย - VERB),"[Lemma('nightmare.n.02.ฝันร้าย'), Lemma('nightmare.n.01.ฝันร้าย'), Lemma('sleep_terror_disorder.n.01.ฝันร้าย')]",0.7057980575679291,0,0.7057980575679291,pos
(วัด - VERB),"[Lemma('quantify.v.02.วัด'), Lemma('measure.v.01.วัด'), Lemma('church_service.n.01.วัด'), Lemma('monastery.n.01.วัด'), Lemma('temple.n.01.วัด'), Lemma('temple.n.03.วัด')]",0,-0.6352182518111363,-0.6352182518111363,neg
(งาม - VERB),[],0.005691919819096203,-0.6352182518111363,-0.6295263319920401,neg
(ป๊อป - VERB),[],0.5293485431759468,0,0.5293485431759468,pos
(รอยสัก - VERB),[Lemma('tattoo.n.02.รอยสัก')],0,-0.5293485431759468,-0.5293485431759468,neg
(เฮน - ADV),[],0,-0.5293485431759468,-0.5293485431759468,neg
(คู่มือ - VERB),"[Lemma('instruction_book.n.01.คู่มือ'), Lemma('manual.n.01.คู่มือ')]",0,-0.5293485431759468,-0.5293485431759468,neg
(เหลว - VERB),[Lemma('thin.a.05.เหลว')],0,-0.4886294244701048,-0.4886294244701048,neg
(ตัวยง - VERB),[],0,-0.45372732272224015,-0.45372732272224015,neg
(กลลวง - VERB),[],0,-0.45372732272224015,-0.45372732272224015,neg
(กาม - VERB),[],0.45372732272224015,-0.04670722439787767,0.4070200983243625,pos
(ลูกสาว - ADV),[Lemma('daughter.n.01.ลูกสาว')],0.39701140738196017,0,0.39701140738196017,pos
(แดด - ADV),[Lemma('sunlight.n.01.แดด')],0.39701140738196017,0,0.39701140738196017,pos
(เร่ร่อน - ADV),"[Lemma('roll.v.12.เร่ร่อน'), Lemma('mobile.s.01.เร่ร่อน')]",0,-0.39701140738196017,-0.39701140738196017,neg
(แออัดยัดเยียด - ADJ),[],0,-0.37365779518302134,-0.37365779518302134,neg
(ดิส - VERB),[],0.3593826579239625,0,0.3593826579239625,pos
(เคารพ - VERB),[Lemma('respect.v.02.เคารพ')],0.35289902878396456,-0.005685127552008977,0.3472139012319556,pos
(ฟัน - VERB),"[Lemma('tooth.n.03.ฟัน'), Lemma('tooth.n.02.ฟัน'), Lemma('tooth.n.05.ฟัน'), Lemma('tooth.n.01.ฟัน'), Lemma('chopper.n.02.ฟัน')]",0.31945125148796666,0,0.31945125148796666,pos
(เท้าเปล่า - ADJ),[Lemma('barefooted.r.01.เท้าเปล่า')],0.31760912590556817,0,0.31760912590556817,pos
(อ่อน - ADJ),"[Lemma('new.s.10.อ่อน'), Lemma('attenuate.s.01.อ่อน'), Lemma('gentle.s.01.อ่อน'), Lemma('weak.s.06.อ่อน')]",0.31760912590556817,0,0.31760912590556817,pos
(โลชั่น - VERB),"[Lemma('lotion.n.01.โลชั่น'), Lemma('lotion.n.02.โลชั่น')]",0,-0.31760912590556817,-0.31760912590556817,neg
(ดวงดาว - VERB),"[Lemma('star.n.01.ดวงดาว'), Lemma('star.n.03.ดวงดาว')]",0,-0.31760912590556817,-0.31760912590556817,neg
(มืด - VERB),"[Lemma('dark.a.01.มืด'), Lemma('darken.v.01.มืด')]",0.31760912590556817,-0.0025853408702121946,0.315023785035356,pos
(สนิม - VERB),[],0.31760912590556817,-0.0061078678058763105,0.31150125809969187,pos
(เสื่อ - ADV),"[Lemma('mat.n.01.เสื่อ'), Lemma('mat.n.03.เสื่อ'), Lemma('mat.n.07.เสื่อ'), Lemma('matting.n.01.เสื่อ')]",0.288735569005062,0,0.288735569005062,pos
(เกลียวคลื่น - VERB),[Lemma('comber.n.02.เกลียวคลื่น')],0.288735569005062,0,0.288735569005062,pos
(ม้วน - ADV),"[Lemma('roll.v.18.ม้วน'), Lemma('roll.v.17.ม้วน'), Lemma('roll.v.08.ม้วน'), Lemma('curl.v.01.ม้วน'), Lemma('roll_up.v.01.ม้วน'), Lemma('wind.v.03.ม้วน'), Lemma('roll.n.11.ม้วน')]",0.288735569005062,0,0.288735569005062,pos
(ต้น - ADV),"[Lemma('early.a.05.ต้น'), Lemma('tree.n.01.ต้น'), Lemma('trunk.n.01.ต้น')]",0.288735569005062,0,0.288735569005062,pos
(สักพัก - VERB),[],0.288735569005062,0,0.288735569005062,pos
(กลฉ้อฉล - VERB),[],0,-0.288735569005062,-0.288735569005062,neg
(คลำหา - VERB),"[Lemma('grope_for.v.01.คลำหา'), Lemma('feel.v.08.คลำหา')]",0,-0.288735569005062,-0.288735569005062,neg
(ตรอก - VERB),[Lemma('alley.n.01.ตรอก')],0,-0.288735569005062,-0.288735569005062,neg
(ลอง - ADV),[Lemma('experiment.v.02.ลอง')],0.01194210285936324,-0.288735569005062,-0.2767934661456987,neg
(ล้าง - ADV),"[Lemma('cleanse.v.01.ล้าง'), Lemma('flush.v.05.ล้าง'), Lemma('wash.v.09.ล้าง')]",0,-0.2761818486135375,-0.2761818486135375,neg
(อย่า - VERB),[],0.017340538379925816,-0.28750612633917,-0.27016558795924417,neg
(ไห่ - VERB),[],0.2646742715879734,0,0.2646742715879734,pos
(เหยียด - VERB),"[Lemma('stretch.v.02.เหยียด'), Lemma('stretch.v.11.เหยียด')]",0,-0.2613692057628818,-0.2613692057628818,neg
(ดื่ม - ADV),"[Lemma('drink.v.01.ดื่ม'), Lemma('drink.v.02.ดื่ม'), Lemma('carry.v.33.ดื่ม')]",0.2646742715879734,-0.00380851835042712,0.2608657532375463,pos
(คาวบอย - VERB),"[Lemma('cowboy.n.01.คาวบอย'), Lemma('cowboy.n.03.คาวบอย')]",0.2443147122350524,0,0.2443147122350524,pos
(กัส - VERB),[],0.2443147122350524,0,0.2443147122350524,pos
(ไวน์ - ADV),[Lemma('wine.n.01.ไวน์')],0.2443147122350524,0,0.2443147122350524,pos
(จิบ - VERB),[],0.2443147122350524,0,0.2443147122350524,pos
(ค็อกเทล - ADJ),"[Lemma('cocktail.n.02.ค็อกเทล'), Lemma('cocktail.n.01.ค็อกเทล')]",0.2443147122350524,0,0.2443147122350524,pos
(ทิป - ADV),"[Lemma('tip-off.n.02.ทิป'), Lemma('tip.v.03.ทิป'), Lemma('gratuity.n.01.ทิป')]",0,-0.2443147122350524,-0.2443147122350524,neg
(คนบ้า - VERB),"[Lemma('crazy.n.01.คนบ้า'), Lemma('lunatic.n.01.คนบ้า'), Lemma('nutter.n.01.คนบ้า'), Lemma('addle-head.n.01.คนบ้า')]",0,-0.2443147122350524,-0.2443147122350524,neg
(ห้า - ADJ),"[Lemma('five.s.01.ห้า'), Lemma('five-spot.n.03.ห้า'), Lemma('five.n.01.ห้า')]",0.22686366136112007,0,0.22686366136112007,pos
(ดาว - ADV),"[Lemma('star.n.01.ดาว'), Lemma('star.n.03.ดาว'), Lemma('belle.n.01.ดาว'), Lemma('star.n.05.ดาว')]",0.22686366136112007,0,0.22686366136112007,pos
(วดี - VERB),[],0.22686366136112007,0,0.22686366136112007,pos
(ทัศนศึกษา - ADV),[],0.22686366136112007,0,0.22686366136112007,pos
(ขี่ม้า - VERB),"[Lemma('jockey.v.03.ขี่ม้า'), Lemma('ride_horseback.v.01.ขี่ม้า')]",0.22686366136112007,0,0.22686366136112007,pos
(พึมพำ - VERB),"[Lemma('murmur.v.02.พึมพำ'), Lemma('murmur.v.01.พึมพำ'), Lemma('mumble.v.01.พึมพำ'), Lemma('ripple.v.02.พึมพำ')]",0,-0.22686366136112007,-0.22686366136112007,neg
(สีแดงสด - VERB),[],0,-0.22686366136112007,-0.22686366136112007,neg
(ผิว - VERB),[],0,-0.22686366136112007,-0.22686366136112007,neg
(ฉีก - ADJ),"[Lemma('dismember.v.01.ฉีก'), Lemma('rend.v.01.ฉีก'), Lemma('tear.v.01.ฉีก')]",0,-0.22686366136112007,-0.22686366136112007,neg
(เรื่องราว - ADV),"[Lemma('story.n.02.เรื่องราว'), Lemma('narrative.n.01.เรื่องราว')]",0,-0.22686366136112007,-0.22686366136112007,neg
(ร่มรื่น - VERB),[],0,-0.22686366136112007,-0.22686366136112007,neg
(บาหลี - ADJ),[],0,-0.2190407764865987,-0.2190407764865987,neg
(ครีม - VERB),"[Lemma('creamy.s.01.ครีม'), Lemma('cream.n.03.ครีม'), Lemma('cream.n.02.ครีม')]",0.03958784801806981,-0.2574031267727719,-0.21781527875470208,neg
(สวมใส่ - VERB),[Lemma('wear.v.09.สวมใส่')],0.22686366136112007,-0.009112713988563234,0.21775094737255685,pos
(หงุดหงิด - ADJ),[],0.22686366136112007,-0.01312813362279315,0.21373552773832694,pos
