word,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(หยุด - VERB),-1.0791812460476249,0.04448259527907678,-1.034698650768548,neg
(*มี - VERB),-0.5187675002557623,0.013994524357462358,-0.5047729758983,neg
(น้อย - ADJ),-0.2697953115119062,0.04402084252291518,-0.22577446898899103,neg
(ทั่วไป - VERB),-0.17986354100793747,0.011404590452493658,-0.16845895055544383,neg
(คืน - ADV),-0.215836249209525,0.05117059663553075,-0.16466565257399424,neg
(จราจร - VERB),-0.17986354100793747,0.02818090829203143,-0.15168263271590604,neg
(ป่า - VERB),-0.17986354100793747,0.030538462003775326,-0.14932507900416214,neg
(กลาง - ADJ),-0.215836249209525,0.0812290870313576,-0.13460716217816737,neg
(ท่องเที่ยว - VERB),-0.15416874943537498,0.020866673795163826,-0.13330207564021115,neg
(เกิน - ADV),-0.13379110918399165,0.010743172301002394,-0.12304793688298925,neg
(ใหญ่ - ADJ),-0.13732080889123124,0.014385896249318688,-0.12293491264191256,neg
(รับ - VERB),-0.11990902733862498,0.0264621140527511,-0.09344691328587387,neg
(ดี - ADJ),-0.10034333188799373,0.020383726087903713,-0.07995960580009001,neg
(นี่ - VERB),-0.09810738600432954,0.01893901950539865,-0.07916836649893089,neg
(ให้ - VERB),-0.09810738600432954,0.02591142230623361,-0.07219596369809593,neg
(มอง - VERB),-0.0880964282487857,0.026063271994782682,-0.06203315625400302,neg
(พูด - VERB),-0.07074102276214943,0.010050420667332232,-0.06069060209481719,neg
(ไป - VERB),-0.06336854028526767,0.011792647543414449,-0.05157589274185322,neg
(ดู - VERB),-0.07358053950324715,0.02237371134703677,-0.05120682815621039,neg
(ใกล้ - ADJ),-0.06225210003069149,0.020530428590343132,-0.04172167144034836,neg
(เดิน - VERB),-0.05473272648436022,0.018162887710291554,-0.036569838774068664,neg
(พยายาม - VERB),-0.07074102276214943,0.03861477414290805,-0.03212624861924138,neg
(สวยงาม - ADJ),-0.0553426280024423,0.029629595966500635,-0.025713032035941667,neg
(ยอดเยี่ยม - VERB),-0.0553426280024423,0.031669670879795095,-0.023672957122647206,neg
(*ใช่ - VERB),-0.048164799306236995,0.025125558197207066,-0.02303924110902993,neg
(มากมาย - ADV),-0.03990519232736634,0.023039465677507573,-0.01686572664985877,neg
(มาก - ADV),-0.03621059444872438,0.021695441670630252,-0.01451515277809413,neg
(เป็น - VERB),-0.04073691875481493,0.02666552979094118,-0.014071388963873749,neg
(ที่สุด - ADV),-0.038169700377572995,0.02541578430715884,-0.012753916070414154,neg
(มี - VERB),-0.021672770345314615,0.017135323048455033,-0.004537447296859582,neg
